ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category1Description,category2Description,category3Description
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaAbstractInstantToJavaTime,Migrate Joda-Time AbstractInstant to Java time,Migrates Joda-Time `AbstractInstant` method calls to their Java time equivalents.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaDateMidnightToJavaTime,Migrate Joda-Time DateMidnight to Java time,Migrates `org.joda.time.DateMidnight` constructor and `now()` calls to `java.time.LocalDate.now().atStartOfDay(...)`.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaDateTimeToJavaTime,Migrate Joda-Time DateTime to java.time.ZonedDateTime,Migrates Joda-Time `DateTime` constructors and instance methods to the equivalent `java.time.ZonedDateTime` calls.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaDateTimeZoneToJavaTime,Migrate Joda-Time DateTimeZone to Java time,Migrates `org.joda.time.DateTimeZone` method calls to `java.time.ZoneOffset` and `java.time.ZoneId`.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaDurationToJavaTime,Migrate Joda-Time Duration to Java time,Migrates `org.joda.time.Duration` constructor and method calls to `java.time.Duration`.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaFormatterToJavaTime,Migrate Joda-Time formatter to Java time,Migrates Joda-Time `DateTimeFormatter` and `DateTimeFormat` method calls to their Java time equivalents.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaInstantToJavaTime,Migrate Joda-Time Instant to Java time,Migrates `org.joda.time.Instant` constructor calls to `java.time.Instant.now()`.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaIntervalToJavaTime,Migrate Joda-Time Interval to Java time,Migrates `org.joda.time.Interval` constructors and methods to their Java time equivalents using ThreeTen-Extra.,1,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.JodaTimeRecipe,Migrate Joda-Time to Java time,Prefer the Java standard library over third-party usage of Joda Time.,105,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
maven,org.openrewrite.recipe:rewrite-joda,org.openrewrite.java.joda.time.NoJodaTime,Prefer the Java standard library instead of Joda-Time,"Before Java 8, Java lacked a robust date and time library, leading to the widespread use of Joda-Time to fill this gap. With the release of Java 8, the `java.time` package was introduced, incorporating most of Joda-Time's concepts. Features deemed too specialized or bulky for `java.time` were included in the ThreeTen-Extra library.  This recipe migrates Joda-Time types to `java.time` and `threeten-extra` types.",109,Joda-Time,Joda,Java,Recipes for Joda-Time.,,Basic building blocks for transforming Java code.
